Replicate	Epoch	Loss
0	0	3.732410036284348
0	1	1.3869258679192642
0	2	0.8522628073034615
0	3	0.520394372528997
0	4	0.4690350766839652
0	5	0.3828508787114045
0	6	0.35671935204801886
0	7	0.32176973645029394
0	8	0.27513626731675245
0	9	0.2877201833601656
0	10	0.2923326790332794
0	11	0.2588366701685149
0	12	0.2381374599604771
0	13	0.2557928667500101
0	14	0.23415206526887827
0	15	0.258212731830005
0	16	0.22894676569206962
0	17	0.2207150050792201
0	18	0.2327140176604534
0	19	0.2353559778682117
0	20	0.2387526130046824
0	21	0.2118854351213266
0	22	0.2319038250836833
0	23	0.19620274855145092
0	24	0.2051753749878242
